text,label,label_id,topic,source,original_split
slide giáo trình đầy đủ .,Tích cực,2,1,UIT-VSFC,train
"nhiệt tình giảng dạy , gần gũi với sinh viên .",Tích cực,2,0,UIT-VSFC,train
đi học đầy đủ full điểm chuyên cần .,Tiêu cực,0,1,UIT-VSFC,train
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,Tiêu cực,0,0,UIT-VSFC,train
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",Tích cực,2,0,UIT-VSFC,train
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",Tích cực,2,0,UIT-VSFC,train
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",Bình thường,1,3,UIT-VSFC,train
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",Tiêu cực,0,1,UIT-VSFC,train
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",Tiêu cực,0,1,UIT-VSFC,train
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,Tiêu cực,0,1,UIT-VSFC,train
thầy rất tận tình và đi dạy rất đúng giờ .,Tích cực,2,0,UIT-VSFC,train
dễ bị áp lực .,Tiêu cực,0,3,UIT-VSFC,train
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",Bình thường,1,0,UIT-VSFC,train
môn học còn dễ cần nâng độ khó lên nữa .,Tiêu cực,0,1,UIT-VSFC,train
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",Tiêu cực,0,1,UIT-VSFC,train
hài lòng về tất cả .,Tích cực,2,3,UIT-VSFC,train
"nhiệt tình , vui vẻ .",Tích cực,2,0,UIT-VSFC,train
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,Tích cực,2,0,UIT-VSFC,train
phong cách giảng bài của thầy rất gần gũi với sinh viên !,Tích cực,2,0,UIT-VSFC,train
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,Tích cực,2,0,UIT-VSFC,train
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,Tiêu cực,0,1,UIT-VSFC,train
tiết học thoải mái .,Tích cực,2,0,UIT-VSFC,train
"thầy nhiệt tình , quan tâm tới sinh viên .",Tích cực,2,0,UIT-VSFC,train
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",Tích cực,2,0,UIT-VSFC,train
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",Tiêu cực,0,1,UIT-VSFC,train
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,Tích cực,2,1,UIT-VSFC,train
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,Tiêu cực,0,0,UIT-VSFC,train
nên biên soạn một tài liệu của chính trường ta .,Tiêu cực,0,1,UIT-VSFC,train
không giúp đỡ sinh viên trong những vấn đề xung quanh .,Tiêu cực,0,0,UIT-VSFC,train
"bài tập đa dạng , cụ thể .",Tích cực,2,1,UIT-VSFC,train
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",Tiêu cực,0,1,UIT-VSFC,train
slide up đầy đủ trước mỗi buổi học .,Tích cực,2,1,UIT-VSFC,train
"nội dung giảng dạy quá nhàm chán , khô khan .",Tiêu cực,0,1,UIT-VSFC,train
lượng kiến thức quá nhiều trong một học kỳ .,Tiêu cực,0,1,UIT-VSFC,train
thầy chép bảng nhiều .,Tiêu cực,0,0,UIT-VSFC,train
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",Tích cực,2,0,UIT-VSFC,train
"chúc các thầy cô , anh chị làm việc vui vẻ !",Tích cực,2,3,UIT-VSFC,train
"hay , nhiệt tình , dễ hiểu .",Tích cực,2,0,UIT-VSFC,train
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",Tiêu cực,0,0,UIT-VSFC,train
